Pod,Season,Ep,Episode_ID,Film,Release_Date,Length,Length_minutes,Reviewer,Guest,MMM_Count,Thats_Great_Count,Notable_Moments,H_Flex,J_Flex,Kevs_Question,TildaH,TildaJason,TildaGuest,TildaCorey,Chuckle_Hut_Favorites,Show_Link,Artwork_Link,Letterboxd_Link,IMDB_Link
DP,1,1,1,Dune (1965) Part 1,43987,0.06375,"=G2/TIME(0,0,60)",Nexus9,Proto,19,2,"- Re-release of first episode  (Special Edition) 
- The beginning is a very delicate time. 
- Quick segment talking about the first 2 years of the pod before the actual first episode. 
- The first question - Why a Dune podcast? 
- H and Proto both say they can'r do a synopsis, so Jason takes it. 
- Newly recorded voicemails for Special Edition from Kev and Corey.",N/A,N/A,"Kev recorded 2 questions for the re-release - What are you most afraid of losing from Dune going into Dune Part 2? If you could do a podcast about any other franchize, other than Dune, what would it be, and why would it be Star Trek?",N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/6PoZjdFLaRayzIzUeO4CkB?si=0mZkBztxSaG9HNU8lyz4Cg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1592369685440-0a827765ae859.jpg
DP,1,2,2,Dune (1965) Part 2,43992,0.0578587962962963,"=G3/TIME(0,0,60)",birria,None,11,2,"- Pitch for a new Zardoz movie, 
- Jason claims Matrix 2 is the best of the series (H enthusiastically agrees) although ""Albino Reggae is not a good look""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/7CjjqqBM3mgJuaOYCjXcvB?si=CiPnLu_jTo2__JOIq_gViw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1592369724865-7c9d8480d313d.jpg
DP,1,3,3,Blade Runner 2049 (2017),43999,0.05894675925925926,"=G4/TIME(0,0,60)",Buddha,ctcher,21,3,"- ctcher working on the DunePod logo.  
- Pod-First: First H Film Synopsis. 
- ctcher says that Harrison Ford came close to ruining this for him. ",N/A,N/A,N/A,N/A,Luv,N/A,N/A,,https://open.spotify.com/episode/6OXEYvmndqNMqLGxIiHOPo?si=GFx5XRlZRviLSdMd-oAZQg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1592402690107-51d3dc89493dc.jpg,,https://www.imdb.com/title/tt1856101/?ref_=ext_shr_lnk
DP,1,4,4,Arrival (2016),44005,0.04335648148148148,"=G5/TIME(0,0,60)",birria,Veronica Belmont,7,1,"- Pod-First - first DuneNews, first listener letter",N/A,N/A,N/A,N/A,The Alien,N/A,N/A,,https://open.spotify.com/episode/4XzTGN8TGVe3tHGKiy7oq2?si=n2TZd7b3QWeULlKREKJQUw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1592849328874-8d82a33897667.jpg,,https://www.imdb.com/title/tt2543164/?ref_=ext_shr_lnk
DP,1,5,5,Call Me By Your Name (2017),44012,0.05299768518518518,"=G6/TIME(0,0,60)",birria,ctcher,17,5,"- Dune News - Set pics including the Ornathopter 
- Ian talks about Jodorowsli's Dune 
- Ian reveals a shocking lack of taste by stating that they did not like Blade Runner 2049 in the Hot Takes segment 
- Cohen Brothers are Jason's favorite living directors, and No Country is one of his favorite films of all time 
- Cohens and Roger Deakins make this a beautiful movie 
- Javier Bardem as Anton Chigurh is one of the best villains of all time 
- Jason still worried about the plan to make Dune Part 1 and Part 2 
- Great episode from early in the Dune Pod days 
- Letters - Jonesy Loves Beer with a letter about finishing reading Dune, Letter from Jason's Mom",N/A,"Jason used to wear a beige trenchcoat, thinks Dylan is the most overrated songwriter ever. ",N/A,N/A,"The Dad, The Peach",The Dad,N/A,,https://open.spotify.com/episode/3YrfIAv9EA1uJJ0bUDh5I3?si=VjAB-WNNRmK_L6FTFgM-vQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1593494306102-f1bcc768dd2ef.jpg,,https://www.imdb.com/title/tt5726616/?ref_=ext_shr_lnk
DP,1,6,6,No Country for Old Men (2007),44018,0.05855324074074074,"=G7/TIME(0,0,60)",Nexus9,Ian de Borja,7,3,- The guest reveals a shocking lack of taste by stating that they did not like Blade Runner 2049,N/A,N/A,N/A,Deputy Wendell,Mother of Carla Jean or Woody Harrelson,Anton Chigurh,N/A,,https://open.spotify.com/episode/0Y4xk4jNjoqQKvmVfDd3kf?si=e-Acv3mMSDiVsVjbm6-bNw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1594093984692-df52fe6b650c7.jpg,https://letterboxd.com/film/no-country-for-old-men/,https://www.imdb.com/title/tt0477348/?ref_=ext_shr_lnk
DP,1,7,7,Ex Machina (2014),44025,0.059166666666666666,"=G8/TIME(0,0,60)",NJBoom,Sara Beykpour,16,3,"- Sara just got married in the middle of the pandemic. 
- Jason not sure Timmy can pull off Paul role. 
- Alex Garland is really good - specifically with Megalomaniacal Tech Billionaires. 
- Norway is the star of this movie - Juvet Landscape Hotel. 
- Pod-First - First voicemail segment, featuring one from H's daughter",N/A,N/A,N/A,Kyoko,All 4 roles - this would be a Tilda one-woman show,"She has to think about it, no answer",N/A,,https://open.spotify.com/episode/0Y4xk4jNjoqQKvmVfDd3kf?si=e-Acv3mMSDiVsVjbm6-bNw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1594688542416-e3102b88b97d7.jpg,,https://www.imdb.com/title/tt0470752/?ref_=ext_shr_lnk
DP,1,8,8,Dune Messiah (1969) Part One,44033,0.03454861111111111,"=G9/TIME(0,0,60)",Space Monkey,Proto,5,5,- Jason talks about worm penis,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/6UhMLrifEZkyzW3ui2qDZ1?si=crUe89oHTS6y28o_h0a0wA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1595182062228-0282368cf8d15.jpg
DP,1,9,9,Dune Messiah (1969) Part Two,44040,0.034027777777777775,"=G10/TIME(0,0,60)",Space Monkey,Proto,14,4,"- Pod-First - First end-of-episode instance of ""Who Would Tilda Swinton Play?""",N/A,N/A,N/A,Bijaz,Hayt,Bijaz,N/A,,https://open.spotify.com/episode/3f76kZxWC19ucqg7MIljyS?si=O8Ur0yFJRzyGyhxZLwEHLA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1595783690974-e305d2f06e95d.jpg
DP,1,10,10,Sicario (2015),44047,0.05542824074074074,"=G11/TIME(0,0,60)",NJBoom,Tom Verrilli,12,3,"- News that the Dune trailer should be out soon (guys are excited). 
- Letter from Tony Risotto said that H said the ""I'm gonna tear up the fuckin' dance floor"" line from Ex Machina better than Oscar Isaac",N/A,N/A,N/A,N/A,Alejandro,Alejandro (the Benicio role),N/A,,https://open.spotify.com/episode/1sRRzimRf7Wx4OrbGXCMWh?si=FPErObsRQoau0LGVH9lizw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1596413606741-6266f277ae844.jpg,,https://www.imdb.com/title/tt3397884/?ref_=ext_shr_lnk
