,Film,Reviewer,MMM Count,That's Great Count,Notable Moments,H Flex,J Flex,Kev's Question,H Tilda,J Tilda,Guest Tilda,Corey Tilda,Chuckle Hut Favorite

5/20/2024 13:57:38,Gladiator,Space Monkey,27,N/A,H announces Pod Data Central!!!,None,N/A,Does historical accuracy matter to you in movies like these? ,Hagen,N/A,ctcher: Commodus Silly: Commodus/Proximo ,A Tiger,Loved the historical review which heightened the power of the film.
6/6/2024 17:57:38,Spider Man 2,Space Monkey,18,1,"gabopagan joins the Discord! 
Jason talks about building !pdc bot based on Pod Data Central 
Jason's successful tumor removal","Haitch was nicknamed Ralph Macchio, ""The Karate Kid"" ",N/A,"How do you feel seen, who represents you in media?",Both Ditovitch's,Dr. Connors,Jason Concepcion: Doc Oc Rosie: John Jameson's Mom ,Aunt May (but old Tilda)
6/21/2024 0:23:30,The Wrath of Khan,Space Monkey,N/A,N/A,"At timestamp 11:00, the birth of CurlyAllie's daughter, Alia, is announced by Haitch and discussed by Jason. "
7/15/2024 21:05:05,Being John Malkovich,Space Monkey,30,7,Jason stalked Anticon artists in a record store back in the day,N/A,N/A,"If you had a floor between floors, what would you put in it? ","""Being Tilda""","""Being Tilda""","Ben: Dr. Lester Rob: ""Being Tilda""",Charlie Sheen role
8/9/2024 13:33:03,Natural Born Killers,Space Monkey,37,5,"JELL-/Ō/TINOUS CUBE, MoodyBlue MyWinnipegExperience and angephalange join the Discord! Haitch's nickname in college was RDJ",N/A,N/A,What's something that you live that's stood the test of time?,Wayne Gale,The Warden,Bald Guard,Noelle: Mickey
8/9/2024 20:42:36,The Goonies,Hex,35,2,White House bathroom talk with Tommy Vietor,,,What real life location used in a movie is your favorite?,Sloth,Steph,Brand and Mikey's mom,Sloth
8/10/2024 16:54:00,The King of Comedy,Space Monkey,49,20,N/A,N/A,N/A,Do you have a dream job that didn't happen?,Mom,Sandra Bernhardt role/Receptionist,Jerry Langford,Sandra Bernhardt role
9/4/2024 8:17:30,Clerks ,Hex,8,4,THE SONGBOOK (H's 220 page bound sing along song books he made and takes with him on camping trips to bring joy to other people),NA,NA,Kevin Smith made Clerks while working a different full time job. What were your Clerks/passion side jobs?,Jay,Old man that dies masturbating on the toilet ,NA,Olaf
9/19/2024 15:31:06,The Chronicles of Riddick,Space Monkey,26,2,Jason's former colleague Dustin becomes a Patron! ,N/A,N/A,What's the strangest place Dune has appeared in your life? ,Toombs,Lord Marshal,Thandie role,Dame Judy Dench role
10/7/2024 14:00:57,Into the Spider-Verse,Space Monkey,27,7,"Jason and Haitch attended Hans Zimmer in concert with great acclaim. Haitch is not exclusive to Jason and is, in fact, ""seeing other pods."" ",N/A,N/A,Is there another character who could carry a multiverse story like this? ,Aunt May,Doc Oc,Spider Man Noir,Doc Oc
10/14/2024 10:37:10,Bullitt,Hex,19,0,H sourced a VM from his neighbor to play during the episode ,Previously stated United Colors of Beneton phase,,Did you have a turtleneck phase?,Old white haired assassin ,Jazz flautist in the coffee shop,Chalmers' body man,Eddy the informant,Yes. I love car talk/Jonesy 's Corner -Hex
11/5/2024 13:32:21,Twilight (2008),Jeth,66,2,Rosie has interviewed Catherine Hardwicke. She's been to Forks WA and the Twilight museum etc.,"Went door knocking in Reno in 2008, Obama showed up then Haitch took his daughter to see High School Musical 3",May or may not go to a Whitehouse event. He has a security clearance that Haitch doors not.,"How are you? (He also says ""Doo-doo"")",Mike (Creeper friend),James (Villain),Carlisle,NONE,Hoa Hoa song sung by Rosie with the edited song over it.
11/6/2024 22:38:12,American Movie,Space Monkey,IDK/NA,N/A,Jason talks about his documentary idea for story about the college debate process for the second time
11/19/2024 11:03:45,Dr. Strangelove,Space Monkey,N/A,N/A,Haitch shamelessly plugs his old band by playing a portion of a song by Henrietta's Lovers that featured a sound clip from Dr. Strangelove. 
11/22/2024 15:16:56,Star Trek: The Motion Picture,Space Monkey,31,4,"Waldo084 joins the Discord, Jason was not happy to watch the movie. ",N/A,N/A,"If you could with an artist on a bizarre post-modern record, who would it be and why? ",Bones/Spock,Ilia,Alien Boy/Epsilon Nine,Decker
12/23/2024 13:56:56,Kiss Kiss Bang Bang,Space Monkey,17,N/A,Haitch's brother Reed becomes a Patron. Yirmummah joins the Discord! ,N/A,N/A,Which celebrity needs to make an album? ,Agrees with guest,N/A,Harlan Dexter (Corbin Bernsen role),Fish head sucking bear from the beer commercials
12/27/2024 20:59:53,Mailbag,Hex,8,0,Rustysurfer's personal letter; the We love Kev song; After the Beep,NA,NA,What are your New Year's resolutions,NA,(as H in the future of the podcast),NA,NA,Hex
2/15/2025 13:38:22,2 Fast 2 Furious ,Hex,12,1,J did not know that Eva Mendez is married to Ryan Gosling ,,He's is producing musicals at home for an audience of one: Juni,Could you pitch a Dune sequel with a major character removed that would still fit in with the story as a whole.,The rat,Verone,"O'Connor, Bilikin, or Agent Markham",Ludacris' role
3/9/2025 0:40:02,Dragonslayer,Hex,19,1,,,,Is the Academy ready for Dune: Messiah? Are we as a culture ready for face dancing? How are we feeling going into the future as production of the third film begins?,The King,The Dragon,Also the Dragon but now I'll have to change it to the dragon babies,Galen,Jonsey is definitely a favorite 
4/25/2025 11:43:16,Andor S2 E1-3 Harvest ,Hex,16,5,"""... brutally banal bureaucracy...""",,,NA,NA,NA,NA,NA
10/6/2025 12:16:58,Robocop,Space Monkey,17,2,,,,"""What part of your body would you cybernetically replace?""",Boddicker/Robocop,Boddicker/Robocop,Boddicker,Boddicker
